=== Sheet: README ===
《三国志：治世与乱世》数据母表 V0.1
项目	《三国志：治世与乱世》
文档类型	Excel 数据母表骨架
版本	V0.1
生成日期	2026-06-03
当前定位	用于系统策划、数值策划、程序和内容组协作；不是最终完整数据。
使用原则	先补字段和示例，再补全量内容；地图、武将库、技能库可在本母表基础上拆分专项。
设计底线	部队从城池出阵；携带随军粮草；大地图移动需要时间；移动和作战消耗粮草；战斗结果回流大地图；战后占领需要整合。
建议流程
1	程序组先审字段是否满足状态机和存档需要。
2	系统策划补充规则表、状态枚举和字段解释。
3	数值策划补充公式、参数范围和调参备注。
4	内容组再进入最终城池库、武将库、技能库、剧本初始状态。
=== Sheet: 表目录 ===
表名	类型	用途	来源章节	当前状态
master_region	主数据表	定义州、地理大区、战略归属和显示顺序。	05_世界结构与地图规则	草案
master_city	主数据表	定义城池静态属性，最终城池清单后续专项补齐。	05_世界结构与地图规则 / 16_数据库结构	草案
master_route_node	主数据表 / 关联表	定义大地图行军节点、道路、水路和补给通道。	05_世界结构与地图规则 / 12_军事行军补给	草案
master_force	主数据表	定义剧本中的势力静态信息和 AI 基础风格。	06_君主势力与汉室正统 / 16_数据库结构	草案
master_officer	主数据表	定义武将静态资料和基础能力；最终武将库后续专项补齐。	07_人才任命 / 10_武将能力特技战法 / 16_数据库结构	草案
officer_relation	关联表	定义宗族、旧主、姻亲、好友、仇敌、师徒等关系。	07_人才任命 / 11_外交谋略与人物关系	草案
appointment_policy	主数据表 / 规则表	合并记录岗位槽位、官职和政令配置入口，后续可拆表。	07_人才任命 / 09_政令官制	草案
city_governance	状态表 / 主数据表	记录城市动态状态、设施和新占恢复相关配置。	08_内政与治世系统 / 14_战后整合	草案
skill_tactic	主数据表 / 关联表	记录技能、战法、原型功能映射和三国化命名。	10_武将能力特技与战法	草案
military_supply	状态表 / 规则表	固定军事底线：城池出阵、移动耗时、携粮、消耗和缺粮惩罚。	12_军事行军与补给 / 23_时间系统	草案
battle_rules	规则表 / 状态表	记录战斗类型、士气、围城、港口、水路和结果回流规则。	13_野战攻城关隘与水战	草案
diplomacy_postwar	状态表 / 规则表	连接外交信用、谋略、劝降、声势扩散、归附和战后治理。	11_外交谋略 / 14_声势归附与战后整合	草案
ai_governorate	状态表 / 配置表	定义都督府范围、委任权限、AI 性格、目标选择和献策。	15_都督府委任与AI / 29_AI难度	草案
scenario_event	主数据表 / 状态表 / 文本表	定义剧本入口、初始归属、历史事件链和改史条件。	26_胜利终局 / 27_剧本历史事件与改史框架	草案
effect_formula_config	配置表 / 规则表	统一记录效果组、触发条件、公式 ID 和可调参数。	16_数据库结构 / 28_数值体系与平衡方法论	草案
=== Sheet: 字段字典 ===
sheet	field	type	required	key_or_ref	description	source	status
master_region	region_id	string	Y	PK	州或地理大区唯一 ID	05_世界结构与地图规则	草案
master_region	region_name	string	Y		州名，例如司隶、冀州、荆州	05_世界结构与地图规则	草案
master_region	macro_area	enum	Y		北方 / 中原 / 关中 / 巴蜀 / 江东 / 荆襄 / 西北 / 南中	05_世界结构与地图规则	草案
master_region	display_order	int	Y		UI 和数据表排序	05_世界结构与地图规则	草案
master_region	terrain_theme	enum	N		主要地貌主题	05_世界结构与地图规则	草案
master_region	strategic_note	text	N		战略说明	05_世界结构与地图规则	草案
master_region	status	enum	Y		草案 / 待确认 / 已确认 / 暂缓 / 废弃	05_世界结构与地图规则	草案
master_city	city_id	string	Y	PK	城池唯一 ID	05_世界结构与地图规则 / 16_数据库结构	草案
master_city	city_name	string	Y		城池显示名	05_世界结构与地图规则 / 16_数据库结构	草案
master_city	region_id	string	Y	FK master_region	所属州	05_世界结构与地图规则 / 16_数据库结构	草案
master_city	commandery_id	string	N	FK master_commandery	所属郡	05_世界结构与地图规则 / 16_数据库结构	草案
master_city	terrain_type	enum	Y		平原 / 山地 / 河网 / 关隘 / 港口 / 都城	05_世界结构与地图规则 / 16_数据库结构	草案
master_city	city_scale	int	Y		城市规模等级	05_世界结构与地图规则 / 16_数据库结构	草案
master_city	defense_base	int	Y		基础城防	05_世界结构与地图规则 / 16_数据库结构	草案
master_city	agriculture_base	int	Y		农业基础	05_世界结构与地图规则 / 16_数据库结构	草案
master_city	commerce_base	int	Y		商业基础	05_世界结构与地图规则 / 16_数据库结构	草案
master_city	population_base	int	Y		人口基础	05_世界结构与地图规则 / 16_数据库结构	草案
master_city	supply_capacity_base	int	Y		粮草容量基础	05_世界结构与地图规则 / 16_数据库结构	草案
master_city	default_role	enum	Y		农业 / 商业 / 军事 / 交通 / 都城 / 前线	05_世界结构与地图规则 / 16_数据库结构	草案
master_city	is_capital_candidate	bool	N		是否可作为势力首府候选	05_世界结构与地图规则 / 16_数据库结构	草案
master_city	status	enum	Y		草案 / 待确认 / 已确认 / 暂缓 / 废弃	05_世界结构与地图规则 / 16_数据库结构	草案
master_route_node	route_id	string	Y	PK	路线唯一 ID	05_世界结构与地图规则 / 12_军事行军补给	草案
master_route_node	from_node_id	string	Y	FK node	起点节点	05_世界结构与地图规则 / 12_军事行军补给	草案
master_route_node	to_node_id	string	Y	FK node	终点节点	05_世界结构与地图规则 / 12_军事行军补给	草案
master_route_node	route_type	enum	Y		road / mountain / river / sea / pass	05_世界结构与地图规则 / 12_军事行军补给	草案
master_route_node	distance	float	Y		路线距离，供移动时间计算	05_世界结构与地图规则 / 12_军事行军补给	草案
master_route_node	terrain_modifier	float	Y		移动速度修正	05_世界结构与地图规则 / 12_军事行军补给	草案
